type,name,rarity,date,banner
Weapon,Ferrous Shadow,3-Star,2020-10-25 23:05:27,novice
Weapon,Slingshot,3-Star,2020-10-25 23:05:27,novice
Weapon,Skyrider Sword,3-Star,2020-10-25 23:05:27,novice
Weapon,Harbinger of Dawn,3-Star,2020-10-25 23:05:27,novice
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-10-25 23:05:27,novice
Weapon,Black Tassel,3-Star,2020-10-25 23:05:27,novice
Character,Noelle,4-Star,2020-10-25 23:05:27,novice
Character,Qiqi,5-Star,2020-10-25 23:05:27,novice
Weapon,Harbinger of Dawn,3-Star,2020-10-25 23:05:27,novice
Weapon,Harbinger of Dawn,3-Star,2020-10-25 23:05:27,novice
Weapon,Dragon's Bane,4-Star,2020-10-26 16:50:46,weapon
Weapon,Sharpshooter's Oath,3-Star,2020-10-26 16:50:46,weapon
Weapon,Slingshot,3-Star,2020-10-26 16:50:46,weapon
Weapon,Slingshot,3-Star,2020-10-26 16:50:46,weapon
Weapon,Debate Club,3-Star,2020-10-26 16:50:46,weapon
Weapon,Magic Guide,3-Star,2020-10-26 16:50:46,weapon
Weapon,Debate Club,3-Star,2020-10-26 16:50:46,weapon
Weapon,Skyrider Sword,3-Star,2020-10-26 16:50:46,weapon
Weapon,Skyrider Sword,3-Star,2020-10-26 16:50:46,weapon
Weapon,Magic Guide,3-Star,2020-10-26 16:50:46,weapon
Weapon,Slingshot,3-Star,2020-10-26 16:51:42,permanent
Weapon,Sharpshooter's Oath,3-Star,2020-10-26 16:51:42,permanent
Character,Lisa,4-Star,2020-10-26 16:51:42,permanent
Weapon,Debate Club,3-Star,2020-10-26 16:51:42,permanent
Weapon,Skyrider Sword,3-Star,2020-10-26 16:51:42,permanent
Weapon,Ferrous Shadow,3-Star,2020-10-26 16:51:42,permanent
Weapon,Ferrous Shadow,3-Star,2020-10-26 16:51:42,permanent
Weapon,Sharpshooter's Oath,3-Star,2020-10-26 16:51:42,permanent
Weapon,Raven Bow,3-Star,2020-10-26 16:51:42,permanent
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-10-26 16:51:42,permanent
Character,Sucrose,4-Star,2020-10-27 03:23:27,novice
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-10-27 03:23:27,novice
Weapon,Ferrous Shadow,3-Star,2020-10-27 03:23:27,novice
Weapon,Raven Bow,3-Star,2020-10-27 03:23:27,novice
Weapon,Skyrider Sword,3-Star,2020-10-27 03:23:27,novice
Weapon,Debate Club,3-Star,2020-10-27 03:23:27,novice
Weapon,Debate Club,3-Star,2020-10-27 03:23:27,novice
Weapon,Harbinger of Dawn,3-Star,2020-10-27 03:23:27,novice
Weapon,Sharpshooter's Oath,3-Star,2020-10-27 03:23:27,novice
Weapon,Harbinger of Dawn,3-Star,2020-10-27 03:23:27,novice
Weapon,Black Tassel,3-Star,2020-10-27 03:25:42,permanent
Weapon,Debate Club,3-Star,2020-10-27 03:25:42,permanent
Weapon,Sharpshooter's Oath,3-Star,2020-10-27 03:25:42,permanent
Weapon,Emerald Orb,3-Star,2020-10-27 03:25:42,permanent
Character,Fischl,4-Star,2020-10-27 03:25:42,permanent
Weapon,Bloodtainted Greatsword,3-Star,2020-10-27 03:25:42,permanent
Weapon,Bloodtainted Greatsword,3-Star,2020-10-27 03:25:42,permanent
Weapon,Emerald Orb,3-Star,2020-10-27 03:25:42,permanent
Weapon,Cool Steel,3-Star,2020-10-27 03:25:42,permanent
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-10-27 03:25:42,permanent
Weapon,Ferrous Shadow,3-Star,2020-10-27 03:28:06,permanent
Weapon,Raven Bow,3-Star,2020-10-27 03:28:06,permanent
Weapon,Raven Bow,3-Star,2020-10-27 03:28:06,permanent
Weapon,Sacrificial Bow,4-Star,2020-10-27 03:28:06,permanent
Weapon,Skyrider Sword,3-Star,2020-10-27 03:28:06,permanent
Weapon,Bloodtainted Greatsword,3-Star,2020-10-27 03:28:06,permanent
Weapon,Ferrous Shadow,3-Star,2020-10-27 03:28:06,permanent
Weapon,Debate Club,3-Star,2020-10-27 03:28:06,permanent
Weapon,Black Tassel,3-Star,2020-10-27 03:28:06,permanent
Weapon,Bloodtainted Greatsword,3-Star,2020-10-27 03:28:06,permanent
Character,Bennett,4-Star,2020-10-28 19:53:55,permanent
Weapon,Ferrous Shadow,3-Star,2020-10-28 19:53:55,permanent
Weapon,Slingshot,3-Star,2020-10-28 19:53:55,permanent
Weapon,Slingshot,3-Star,2020-10-28 19:53:55,permanent
Weapon,Cool Steel,3-Star,2020-10-28 19:53:55,permanent
Weapon,Bloodtainted Greatsword,3-Star,2020-10-28 19:53:55,permanent
Character,Xiangling,4-Star,2020-10-28 19:53:55,permanent
Weapon,Sharpshooter's Oath,3-Star,2020-10-28 19:53:55,permanent
Weapon,Slingshot,3-Star,2020-10-28 19:53:55,permanent
Weapon,Harbinger of Dawn,3-Star,2020-10-28 19:53:55,permanent
Weapon,Ferrous Shadow,3-Star,2020-11-01 16:46:29,permanent
Weapon,Raven Bow,3-Star,2020-11-01 16:46:29,permanent
Weapon,Skyrider Sword,3-Star,2020-11-01 16:46:29,permanent
Weapon,Slingshot,3-Star,2020-11-01 16:46:29,permanent
Weapon,Dragon's Bane,4-Star,2020-11-01 16:46:29,permanent
Weapon,Black Tassel,3-Star,2020-11-01 16:46:29,permanent
Weapon,Harbinger of Dawn,3-Star,2020-11-01 16:46:29,permanent
Weapon,Emerald Orb,3-Star,2020-11-01 16:46:29,permanent
Weapon,Skyrider Sword,3-Star,2020-11-01 16:46:29,permanent
Weapon,Harbinger of Dawn,3-Star,2020-11-01 16:46:29,permanent
Weapon,Harbinger of Dawn,3-Star,2020-11-01 16:47:22,permanent
Weapon,Slingshot,3-Star,2020-11-01 16:47:22,permanent
Weapon,Cool Steel,3-Star,2020-11-01 16:47:22,permanent
Weapon,Cool Steel,3-Star,2020-11-01 16:47:22,permanent
Weapon,Emerald Orb,3-Star,2020-11-01 16:47:22,permanent
Weapon,Raven Bow,3-Star,2020-11-01 16:47:22,permanent
Weapon,Skyrider Sword,3-Star,2020-11-01 16:47:22,permanent
Weapon,Sharpshooter's Oath,3-Star,2020-11-01 16:47:22,permanent
Character,Ningguang,4-Star,2020-11-01 16:47:22,permanent
Weapon,Ferrous Shadow,3-Star,2020-11-01 16:47:22,permanent
Weapon,Emerald Orb,3-Star,2020-11-01 23:00:48,permanent
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-01 23:00:48,permanent
Weapon,Bloodtainted Greatsword,3-Star,2020-11-01 23:00:48,permanent
Weapon,Ferrous Shadow,3-Star,2020-11-01 23:00:48,permanent
Weapon,Emerald Orb,3-Star,2020-11-01 23:00:48,permanent
Weapon,Dragon's Bane,4-Star,2020-11-01 23:00:48,permanent
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-01 23:00:48,permanent
Weapon,Black Tassel,3-Star,2020-11-01 23:00:48,permanent
Weapon,Cool Steel,3-Star,2020-11-01 23:00:48,permanent
Weapon,Black Tassel,3-Star,2020-11-01 23:00:48,permanent
Weapon,Sacrificial Bow,4-Star,2020-11-05 23:05:17,permanent
Weapon,The Flute,4-Star,2020-11-05 23:05:17,permanent
Character,Diluc,5-Star,2020-11-05 23:05:17,permanent
Weapon,Emerald Orb,3-Star,2020-11-05 23:05:17,permanent
Weapon,Bloodtainted Greatsword,3-Star,2020-11-05 23:05:17,permanent
Weapon,Bloodtainted Greatsword,3-Star,2020-11-05 23:05:17,permanent
Weapon,Harbinger of Dawn,3-Star,2020-11-05 23:05:17,permanent
Weapon,Emerald Orb,3-Star,2020-11-05 23:05:17,permanent
Character,Lisa,4-Star,2020-11-05 23:05:17,permanent
Weapon,Slingshot,3-Star,2020-11-05 23:05:17,permanent
Character,Ningguang,4-Star,2020-11-11 21:42:34,char
Weapon,Emerald Orb,3-Star,2020-11-11 21:42:34,char
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-11 21:42:34,char
Weapon,Ferrous Shadow,3-Star,2020-11-11 21:42:34,char
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-11 21:42:34,char
Weapon,Emerald Orb,3-Star,2020-11-11 21:42:34,char
Weapon,Skyrider Sword,3-Star,2020-11-11 21:42:34,char
Weapon,Sharpshooter's Oath,3-Star,2020-11-11 21:42:34,char
Weapon,Emerald Orb,3-Star,2020-11-11 21:42:34,char
Weapon,Debate Club,3-Star,2020-11-11 21:42:34,char
Character,Diona,4-Star,2020-11-11 21:43:20,char
Weapon,Skyrider Sword,3-Star,2020-11-11 21:43:20,char
Weapon,Bloodtainted Greatsword,3-Star,2020-11-11 21:43:20,char
Weapon,Emerald Orb,3-Star,2020-11-11 21:43:20,char
Weapon,Magic Guide,3-Star,2020-11-11 21:43:20,char
Weapon,Raven Bow,3-Star,2020-11-11 21:43:20,char
Weapon,Emerald Orb,3-Star,2020-11-11 21:43:20,char
Weapon,Debate Club,3-Star,2020-11-11 21:43:20,char
Weapon,Sharpshooter's Oath,3-Star,2020-11-11 21:43:20,char
Weapon,Ferrous Shadow,3-Star,2020-11-11 21:43:20,char
Weapon,Raven Bow,3-Star,2020-11-11 21:43:59,char
Weapon,Skyrider Sword,3-Star,2020-11-11 21:43:59,char
Weapon,Raven Bow,3-Star,2020-11-11 21:43:59,char
Weapon,Slingshot,3-Star,2020-11-11 21:43:59,char
Weapon,Raven Bow,3-Star,2020-11-11 21:43:59,char
